max_aqi,mean(means)
25.964282444977265,7.499853857752265
25.863821829576967,7.123890204928104
24.68514597464183,6.941905200568368
24.843076436504727,7.16955697717315
25.796592075017422,7.458946198890446
27.885016286703795,7.651521746383867
35.9555934183856,8.66042858649379
24.43076796436816,6.591125959382776
28.443228605302302,8.108726446702134
25.379544344556994,7.046323321782299
28.68187441312728,7.863578382122621
27.639613430951332,7.7385896134632395
31.763901682213806,7.932334030700484
34.060157445526315,8.3749610786378
27.97696705484031,7.8464302778428765
26.60725451843915,7.443925470683224
29.01839713778679,7.9642942030593264
28.727064067105484,7.956260109294241
28.82559872042638,7.3698002104970675
29.07148682253974,7.685832050536429
29.60445994051602,7.908976067353346
29.39020153312238,7.744396798572421
31.37524056351434,8.42513630574225
29.245469815919712,7.53178487574208
33.30405911444624,8.575998558863324
27.70035482184529,7.539250695572629
32.238415443948185,8.081875303901349
37.69267951042547,9.239609162474718
35.13799088974765,8.447437089142646
