max_aqi,mean(pollutant_cell collect each.aqi)
54.690511092528695,16.346707659838856
54.7296068644623,16.335448894254252
55.046630173916725,16.38915039624935
55.22184753895005,16.39166964339187
55.86532715100968,16.316324521326564
54.820766737751434,16.315868569133986
54.46119835189809,16.314711455604545
55.05441046538404,16.389558876821816
55.37329052776536,16.298409871026255
55.23633676488894,16.218664348025943
55.369317682025276,16.36204968097392
56.15479092666236,16.358901787078135
56.15567310881101,16.3904348400729
54.5156822268161,16.356120187822782
55.50874660187189,16.414446704522472
55.94854836206634,16.33521581632757
55.26417857302428,16.30589085041401
55.1318841623139,16.294219367694158
54.25560084436276,16.339594850253402
55.17078161465092,16.445731250738547
54.395804508142994,16.30253249893787
55.330453364289326,16.33420809342017
55.67587878249325,16.40866299400763
55.89665129468779,16.400462522684396
55.82743769013111,16.37985531053569
54.98933133439904,16.308062283762855
55.389815111255814,16.406916416554626
55.23801226325284,16.267567174097525
56.11911391378971,16.376476497058814
55.34726301635985,16.378800103507402
55.52929429749584,16.304392215770136
55.39965350816468,16.352740675599417
54.90598595066367,16.393995048686023
56.29781350034994,16.385362657724762
55.879101736787995,16.416099592426875
55.691354032612175,16.403301790977867
55.57722442418246,16.375768821451793
56.26232843786306,16.394815741489058
56.67688978496823,16.38616193711691
55.491702992367664,16.336227751598265
54.3928093761896,16.31745205168336
55.15111955319304,16.350434771918273
54.99388811579674,16.32348183966061
55.18314113852688,16.334846716131185
55.236533929300734,16.3369026515589
55.214222504048884,16.32557133564192
54.60989125533552,16.385068059991884
55.57646027508062,16.377461198644955
55.473925582708794,16.361519912310303
55.21383014899879,16.33750363547901
55.57691945538591,16.377010233087287
55.672766798576404,16.3772414339194
55.23212101281582,16.29947930335236
56.62965532811367,16.359282662367434
56.26417112731282,16.316629593401327
54.88621622374674,16.33453354142426
55.747577020996886,16.337638669189687
55.64545828690217,16.312966434512255
54.10990590834793,16.35696707783331
54.52335066393461,16.33969681180565
54.52439214468426,16.337677693241194
55.141746696192186,16.36050211789376
55.098241637150466,16.397507148545664
56.26776368182088,16.385539209862163
54.233348050434756,16.367451456990608
54.50019759743427,16.29369019750627
54.77213670763648,16.358837757801446
55.62325008952198,16.321131878002525
56.048979609743974,16.406532064635783
56.38049989872601,16.362312853796922
55.20227863608621,16.330903400891167
54.706941689906984,16.301797033287702
55.0966270165841,16.357966147906765
56.34699392645177,16.426128595870086
54.59192572813332,16.262237130403474
56.0275781587068,16.371895462428157
55.314622574193336,16.337260322930216
55.7931777486504,16.354039422160728
55.23561956071886,16.400608673806417
54.9402025434405,16.40773048353863
56.07730933225109,16.322868424311043
54.97025778127874,16.370326110818016
54.92343403715022,16.270338763183524
56.38899772488502,16.29741187536858
55.06298334057506,16.336283441977884
56.22714907881261,16.30276130757029
54.89265145877877,16.30565354523023
55.51499883712587,16.32971738945151
54.91073286465982,16.364960571985854
56.24493854826448,16.398030494694936
54.66473325794474,16.36454146594767
54.974458251782984,16.39851795209409
54.804552693910594,16.29872743496996
55.968079938953686,16.308121100297786
56.097076675953694,16.332225635893916
55.161466720130925,16.27133391350742
55.498160127968575,16.350055869513014
54.73338168528271,16.336428848109158
55.06928338696614,16.383896607253675
55.693711242197296,16.397464923613573
