max_aqi,mean(means)
26.5727401257145,7.085718721221098
25.401695013191123,7.129726474689717
25.531395373710104,7.069643811420826
25.560975761523185,7.131978550216804
26.143274752444377,7.094528622950721
24.84158734797336,7.050597867880489
26.289483780349027,7.094244196356197
26.326209711623783,7.103702062623636
27.2742671456944,7.12683387324106
25.905132441523364,7.07688364389951
26.49623382476835,7.143694202893128
27.110539621089924,7.077695587932915
28.205265308541037,7.187490548859064
26.936494296531123,7.147488065217355
24.922440406654463,7.125047088314144
25.805370608937995,7.130637379514608
26.67807520928125,7.1189691209266375
26.740084543172344,7.1900784452314594
25.45458887358098,7.14655770320612
26.520305130279066,7.159284539160207
25.795375119353757,7.130445632317239
26.166489738837612,7.042830894711484
25.992358823816904,7.085097776099486
25.817340172490226,7.131440085897582
26.218865144444997,7.091758216129584
26.581205003987975,7.122575510512628
25.847014047439792,7.130616155988905
25.15213494850536,7.064182677376947
26.699148084059544,7.10398284067853
25.935391028284645,7.165974646512914
25.428868994791376,7.0658610641546336
25.94452657375869,7.147560563296052
26.787185917170152,7.098402865659276
26.04356311659921,7.120959608015929
26.48643952944234,7.1684035695592065
25.219951604057133,7.150169431727647
26.802732865899596,7.062091819641285
26.63242575293343,7.090629465227529
25.106648363786665,7.071672666284631
27.506959814498583,7.173638226424139
26.64243792187349,7.149190471460494
25.645484359362907,7.069260307755923
26.77542527512119,7.092413003047857
26.90100500086038,7.1371658761394015
25.63306626337352,7.068702807358671
26.999877696958404,7.141324253377487
25.51196122145416,7.093180195453241
25.578667549286166,7.121463749839655
26.43643929803403,7.163760979405557
25.343065498636907,7.1108918798253775
27.291677449549322,7.169567934015035
26.896153752497824,7.118162977084729
26.643922281282588,7.093321978356637
25.238602714101493,7.105647952433569
26.015618392060713,7.171333199079872
28.563928875407342,7.139240789320876
25.97426394825409,7.118275732823142
25.754855742837506,7.0811376745929175
26.393783611106176,7.103748334532631
26.29057202643702,7.086066889114029
26.260214578202284,7.090205726909517
24.8047434457818,7.049089709529088
25.432865433379558,7.111239752535088
26.118482394468607,7.041733707415668
25.745355730251546,7.121947910684404
26.157033057332633,7.1202910572789095
25.991430823225336,7.090865486084516
26.891497932157264,7.092326360862119
27.43136228772079,7.166372910976735
26.63204724741949,7.095068958498685
26.44844328933168,7.124911378921144
26.50378247968411,7.18447202480661
25.072928222479167,7.0835616591638475
25.74199310105854,7.169730158837175
25.074341166494335,7.071069028154815
25.152609144735244,7.090102973073753
26.264399448464765,7.0413457230149525
25.801233632623465,7.080157280323645
25.227410639465692,7.087661765921375
26.98850048046032,7.1300691874772735
25.66430904594045,7.098961553597132
25.657472472087374,7.124024985938576
27.44823924239641,7.092012949904901
26.443789607654146,7.127013846853815
27.015912788447704,7.109544896668792
25.436080048386657,7.075955457988612
26.099063483630978,7.139385627775068
25.958799352915925,7.143828092967264
27.431981362088624,7.057500392755326
25.859298413439046,7.119194553692889
25.46523362423971,7.067480471467778
26.004102012324953,7.054050937227996
26.994706837182385,7.137704300351166
26.565984570500255,7.113492680394868
25.891271910237606,7.107397506471951
26.869626232431155,7.185184145054022
26.383416590034443,7.079551512189104
25.011226848863384,7.14648693802402
26.204216189685248,7.127624092750632
26.069045747887383,7.078876162177406
