max_aqi,mean(pollutant_cell collect each.aqi)
55.84003507362113,24.04406945435814
57.61568779738756,24.264751941881652
55.54034314215852,24.311676150717425
58.31474092848732,24.136629855447843
56.30376193924682,24.17452382462152
55.03070480235684,24.29231841660917
56.41183742004583,24.022044581963886
56.3515815180441,24.205728463999737
55.27095339139394,24.02138691642523
57.21458651326118,24.163289394766036
56.371948545645665,24.094545059882023
56.19868970007557,24.237692797705
56.14827305477949,24.21085331286288
55.38507625104908,24.172165491885846
56.886316620710275,24.32827826259308
55.629547193369866,24.257007855805817
56.060637114924106,24.11738630607421
55.62269526831404,24.230975795132842
55.77511400869831,24.13131165813406
56.65586872080339,24.268844544287965
56.4656346635347,24.164578732233522
56.80996172015238,24.115770453649848
55.438787446165314,24.097862353160053
56.357634889755346,24.257405884754473
56.55584483209385,24.329097621437654
56.11700315655106,24.092593845522668
54.9233509498535,24.208275085614865
55.39883251930496,24.21309089494683
55.95904752939552,24.180284006226387
57.00021581028998,24.327247572970897
56.53866670626093,24.0840741267965
55.693937993573805,24.16418309159657
55.645451280639776,24.21659289721654
55.15478801133782,24.159471289530785
56.30457376900303,24.074200267729488
57.43001235069162,24.185145667749154
55.83237415433759,24.035765867025077
56.14707083621232,23.97647458931811
56.56814971900454,24.27911412871392
57.355227981306065,24.226246858109917
55.97808981215472,24.171070266322033
56.30094704353799,24.047499721085245
55.54050618420776,24.218984240229535
56.33599504040001,24.179971492821895
55.66551837638821,24.036454969710576
55.567228177385665,24.094123559315722
55.731931882053196,23.97694317321291
55.824344501462406,24.109824446584682
54.98647064402265,24.066045193467197
57.42860176029668,24.326872991635785
55.690861143794656,24.25739323471782
57.992240703274845,24.340508408630562
57.39426469640077,24.13067842703834
57.07626669897788,24.125749985098018
56.6804075722254,24.3876592474548
55.23389949994078,24.08582015807054
56.47929200422347,24.108223248083114
57.24944737619473,24.37492482832472
55.81524109878787,24.132707417950495
56.02185727700116,24.132150539459076
55.20151781450866,24.183846944968277
55.23380548272139,24.25429995978424
55.28913900928345,24.069631600049306
55.56062963612233,24.15421613521704
56.95700959533232,24.040230178569306
55.54983757977057,24.224667889481903
56.7763952332738,24.13500181573912
55.3648416312997,24.005055957286228
55.57164565903442,24.215459266915502
56.960681374255685,24.148911718322157
58.02919947446681,24.251817905061603
55.6788874308705,23.955885993144186
56.02504183726486,23.96783635088624
55.32348340396018,24.10985306818431
55.11914377483285,24.27752492372672
56.206768502191466,24.17366435789554
55.598927677577834,24.039443479059198
55.79447298171761,24.100715598737825
56.868131095364085,24.068888517703126
56.65866877573333,24.168988863426385
54.87926970397245,24.070859659489862
55.830362820470484,24.014852591480313
55.622529693955215,24.219978211164875
56.361484903405724,24.181799608250465
